Date,Log_Return,ATR,Bollinger_High,Bollinger_Low,RSI,MACD,MACD_Signal,Stoch_K,Stoch_D,SMA_10,SMA_50,EMA_10,EMA_50,On_Balance_Volume,Actual_Target,Predicted_Target,Prediction_Probability,Adj_Close,Daily_Return,Strategy_Return,Cumulative_Strategy_Return,Cumulative_Buy_Hold_Return
2023-04-28,0.007512768513998791,2.7942279930847023,166.99678180544072,158.06716167600462,66.13798739565443,2.5211061491047246,2.6180364861223486,98.31167808896855,81.36568905318457,163.6708953857422,155.50483947753906,163.5860019656134,156.55145700398518,18299086800,0,0,0.4,167.10296630859375,0.007541060164533153,0.0,-0.044859957954033636,0.07202440997719606
2023-05-01,-0.0005304906176057613,2.721962291238382,167.63485027013647,157.89096760095728,65.85066844507833,2.634078539423257,2.6212448967825304,91.93998444058207,96.18109839237714,164.10027465820312,155.81761627197267,164.20933674672347,156.96176626899432,18246613900,0,0,0.35,167.01434326171875,-0.0005303499323365823,-0.0,-0.044859957954033636,0.07145586190390141
2023-05-02,-0.00621058446564944,2.7252032628541047,167.93881907642236,157.82040180980812,62.44213636585138,2.6100839728840697,2.619012712002838,78.84840091613806,89.70002114856284,164.30413055419922,156.13255920410157,164.53133022974106,157.31543429386986,18198188200,0,0,0.43,165.9803009033203,-0.006191338649148559,-0.0,-0.044859957954033636,0.06482211581523911
2023-05-03,-0.006488372785001404,2.795037992463744,168.10482574604785,157.83362945414748,59.02640240923463,2.4759084618153224,2.590391861965335,57.26595047752011,76.01811194474669,164.2864028930664,156.50619750976563,164.5996056593833,157.6131366781406,18133052200,0,0,0.49,164.90684509277344,-0.006467368746199242,-0.0,-0.044859957954033636,0.05793551854315382
2023-05-04,-0.009963104666667376,2.8162741788222507,168.14631185110497,157.9920563739927,54.166687576696745,2.2121561943636436,2.5147447284449966,36.82210481399851,57.64548540255217,164.2017074584961,156.83866973876954,164.3582261636076,157.8350536096887,18051816800,1,0,0.43,163.2720184326172,-0.009913637358331173,-0.0,-0.044859957954033636,0.04744752946381903
2023-05-05,0.04585938044222336,3.213740642838064,169.60812062104463,157.4077164761233,67.62134153987421,2.5915082819078634,2.5300974391375703,93.65221255660778,62.58008928270874,165.0437255859375,157.31472869873048,165.55380580378264,158.34873441654682,18165270000,0,0,0.39,170.9339141845703,0.046927182168175374,0.0,-0.044859957954033636,0.09660129049057287
2023-05-08,-0.00040347978869459714,3.106586244717058,170.68020206909515,157.46521419067048,67.42949584606711,2.8536879566923687,2.59481554264853,93.04336171244749,74.50589302768454,165.84832000732422,157.8423910522461,166.5194701516034,158.83956678126253,18109307200,0,0,0.44,170.86495971679688,-0.00040339840167102903,-0.0,-0.044859957954033636,0.09615892328271869
2023-05-09,-0.010021194566573697,3.0211531943958456,171.02681625231787,158.1989360059829,62.69654088919569,2.890669427180484,2.653986319554921,77.99993595349268,88.23183674084926,166.63617401123048,158.3121466064453,166.99979187386157,159.24433826529238,18063980300,1,0,0.36,169.16123962402344,-0.009971149705576221,-0.0,-0.044859957954033636,0.0852289585575634
2023-05-10,0.010366916819690552,2.96433262087055,171.41591935432606,159.1353852721388,65.40247659748725,3.027323803670953,2.7286538163781278,93.56504139126773,88.2027796857359,167.60128936767578,158.82720336914062,167.71329185098614,159.7023658528514,18117704800,1,0,0.33,170.92404174804688,0.010420839478011867,0.0,-0.044859957954033636,0.09653795533158172
2023-05-11,0.0010942370742987098,2.922826326362689,172.226324686876,159.1315427447646,65.68702754722716,3.114817833340311,2.8058866197705643,92.87534803374542,88.14677512616856,168.12718048095704,159.38736511230468,168.3310888848267,160.14977015419484,18167219500,0,0,0.34,171.11117553710938,0.0010948359701108412,0.0,-0.044859957954033636,0.09773848452767053
2023-05-12,-0.005432538920766204,2.9296023983335147,172.7309650658606,159.37522695074094,62.92594530454805,3.0739182618301584,2.859492948182483,84.89108576173727,90.44382506225008,168.43529663085937,159.91716766357422,168.6680050526068,160.54327437589768,18121686400,0,0,0.31,170.1841278076172,-0.005417809366233595,-0.0,-0.044859957954033636,0.09179114668452137
2023-05-15,-0.0029013138839109917,2.8429128966400947,173.0749932574435,159.72825228699008,61.44661819061546,2.9675130453234146,2.8810969676106697,80.64472772481642,86.13705384009965,168.70297088623047,160.3362649536133,168.8540197367564,160.90201207940876,18084419700,0,0,0.39,169.6910858154297,-0.002897109140194587,-0.0,-0.044859957954033636,0.08862810857427816
2023-05-16,0.0,2.7342384376415807,173.40900326642162,159.96917666521898,61.44661819061546,2.8503293224725894,2.8749434385830535,77.80178059166454,81.11253135940603,169.0740493774414,160.70021209716796,169.00621356924248,161.2466816376841,18126530000,1,0,0.43,169.6910858154297,0.0,0.0,-0.044859957954033636,0.08862810857427816
2023-05-17,0.003596478814145178,2.7157423028872167,173.80427989422859,160.09573536456045,62.70745725697112,2.77480811281589,2.854916373429621,83.84083982064557,80.76244937904212,169.61361236572264,161.12031036376953,169.24189746130492,161.60181078819005,18184481600,1,0,0.39,170.30247497558594,0.0036029539042565784,0.0,-0.044859957954033636,0.09255038546834937
2023-05-18,0.013573599615154688,2.7091341261083492,174.5243887832779,160.22671442717132,67.11618356853873,2.869677058213483,2.8578685103863934,98.29700800828745,86.6465428068658,170.5493957519531,161.5619418334961,169.85788924923526,162.03428300414032,18249978300,1,0,0.32,172.62985229492188,0.013666139142543887,0.0,-0.044859957954033636,0.10748133105639979
